Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,38,9,Some Random Commen with Id 0
1,0,1,94,2,Some Random Commen with Id 1
2,0,1,127,7,Some Random Commen with Id 2
3,0,1,124,7,Some Random Commen with Id 3
4,0,1,193,1,Some Random Commen with Id 4
5,0,1,163,4,Some Random Commen with Id 5
6,0,1,194,4,Some Random Commen with Id 6
7,0,1,72,9,Some Random Commen with Id 7
8,0,1,19,7,Some Random Commen with Id 8
9,1,0,125,7,Some Random Commen with Id 9
10,1,0,102,5,Some Random Commen with Id 10
11,1,0,105,5,Some Random Commen with Id 11
12,1,0,95,2,Some Random Commen with Id 12
13,1,0,107,5,Some Random Commen with Id 13
14,1,0,3,3,Some Random Commen with Id 14
15,1,0,98,4,Some Random Commen with Id 15
16,1,0,146,7,Some Random Commen with Id 16
17,2,6,96,8,Some Random Commen with Id 17
18,2,6,126,3,Some Random Commen with Id 18
19,3,5,174,4,Some Random Commen with Id 19
20,3,5,191,7,Some Random Commen with Id 20
21,3,5,170,7,Some Random Commen with Id 21
22,3,5,61,7,Some Random Commen with Id 22
23,3,5,113,5,Some Random Commen with Id 23
24,3,5,109,6,Some Random Commen with Id 24
25,3,5,8,7,Some Random Commen with Id 25
26,3,5,93,2,Some Random Commen with Id 26
27,3,5,185,6,Some Random Commen with Id 27
28,4,4,161,2,Some Random Commen with Id 28
29,4,4,36,1,Some Random Commen with Id 29
30,4,4,155,0,Some Random Commen with Id 30
31,5,3,124,3,Some Random Commen with Id 31
32,5,3,85,4,Some Random Commen with Id 32
33,5,3,52,2,Some Random Commen with Id 33
34,5,3,193,7,Some Random Commen with Id 34
35,5,3,77,6,Some Random Commen with Id 35
36,5,3,58,1,Some Random Commen with Id 36
37,5,3,52,6,Some Random Commen with Id 37
38,5,3,84,4,Some Random Commen with Id 38
39,6,7,98,7,Some Random Commen with Id 39
40,6,7,28,4,Some Random Commen with Id 40
41,6,7,154,2,Some Random Commen with Id 41
42,6,7,102,3,Some Random Commen with Id 42
43,6,7,153,4,Some Random Commen with Id 43
44,6,7,185,7,Some Random Commen with Id 44
45,6,7,11,5,Some Random Commen with Id 45
46,6,7,149,0,Some Random Commen with Id 46
47,7,6,24,4,Some Random Commen with Id 47
48,7,6,48,3,Some Random Commen with Id 48
49,7,6,194,4,Some Random Commen with Id 49
50,7,6,92,2,Some Random Commen with Id 50
51,8,6,191,5,Some Random Commen with Id 51
52,8,6,104,2,Some Random Commen with Id 52
53,8,6,160,8,Some Random Commen with Id 53
54,8,6,159,7,Some Random Commen with Id 54
