Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,52,6,Some Random Commen with Id 0
1,0,4,139,0,Some Random Commen with Id 1
2,0,4,163,7,Some Random Commen with Id 2
3,1,2,127,2,Some Random Commen with Id 3
4,1,2,124,4,Some Random Commen with Id 4
5,1,2,194,6,Some Random Commen with Id 5
6,1,2,108,3,Some Random Commen with Id 6
7,1,2,192,8,Some Random Commen with Id 7
8,1,2,181,9,Some Random Commen with Id 8
9,1,2,184,2,Some Random Commen with Id 9
10,1,2,114,6,Some Random Commen with Id 10
11,1,2,166,6,Some Random Commen with Id 11
12,2,9,184,7,Some Random Commen with Id 12
13,2,9,192,0,Some Random Commen with Id 13
14,2,9,67,2,Some Random Commen with Id 14
15,3,0,33,1,Some Random Commen with Id 15
16,3,0,116,1,Some Random Commen with Id 16
17,3,0,89,7,Some Random Commen with Id 17
18,3,0,109,2,Some Random Commen with Id 18
19,3,0,68,8,Some Random Commen with Id 19
20,4,0,119,3,Some Random Commen with Id 20
21,4,0,47,0,Some Random Commen with Id 21
22,4,0,90,7,Some Random Commen with Id 22
23,4,0,59,4,Some Random Commen with Id 23
24,4,0,19,2,Some Random Commen with Id 24
25,4,0,20,8,Some Random Commen with Id 25
26,4,0,128,5,Some Random Commen with Id 26
27,5,1,199,4,Some Random Commen with Id 27
28,5,1,22,1,Some Random Commen with Id 28
29,5,1,44,2,Some Random Commen with Id 29
30,5,1,78,5,Some Random Commen with Id 30
31,5,1,63,0,Some Random Commen with Id 31
32,5,1,32,5,Some Random Commen with Id 32
33,6,8,76,2,Some Random Commen with Id 33
34,6,8,150,0,Some Random Commen with Id 34
35,7,6,26,7,Some Random Commen with Id 35
36,7,6,195,1,Some Random Commen with Id 36
37,7,6,22,4,Some Random Commen with Id 37
38,7,6,55,8,Some Random Commen with Id 38
39,7,6,59,1,Some Random Commen with Id 39
40,7,6,24,1,Some Random Commen with Id 40
41,7,6,54,9,Some Random Commen with Id 41
42,7,6,149,9,Some Random Commen with Id 42
43,7,6,143,4,Some Random Commen with Id 43
44,8,8,131,2,Some Random Commen with Id 44
45,8,8,47,0,Some Random Commen with Id 45
46,8,8,55,9,Some Random Commen with Id 46
47,8,8,129,4,Some Random Commen with Id 47
48,8,8,26,9,Some Random Commen with Id 48
49,9,7,21,2,Some Random Commen with Id 49
50,9,7,57,5,Some Random Commen with Id 50
51,9,7,129,8,Some Random Commen with Id 51
52,9,7,8,6,Some Random Commen with Id 52
53,9,7,45,0,Some Random Commen with Id 53
54,9,7,37,8,Some Random Commen with Id 54
55,10,5,97,3,Some Random Commen with Id 55
56,10,5,6,1,Some Random Commen with Id 56
57,10,5,117,8,Some Random Commen with Id 57
58,10,5,83,9,Some Random Commen with Id 58
59,10,5,16,2,Some Random Commen with Id 59
60,10,5,96,7,Some Random Commen with Id 60
61,10,5,194,8,Some Random Commen with Id 61
62,10,5,141,4,Some Random Commen with Id 62
63,10,5,140,5,Some Random Commen with Id 63
64,11,2,103,0,Some Random Commen with Id 64
65,12,0,37,8,Some Random Commen with Id 65
66,12,0,155,9,Some Random Commen with Id 66
67,12,0,104,5,Some Random Commen with Id 67
68,12,0,114,6,Some Random Commen with Id 68
69,13,3,174,1,Some Random Commen with Id 69
70,13,3,27,3,Some Random Commen with Id 70
71,13,3,105,3,Some Random Commen with Id 71
72,13,3,94,3,Some Random Commen with Id 72
73,13,3,175,9,Some Random Commen with Id 73
74,14,1,124,0,Some Random Commen with Id 74
75,14,1,56,8,Some Random Commen with Id 75
76,14,1,1,1,Some Random Commen with Id 76
77,15,4,163,8,Some Random Commen with Id 77
78,15,4,121,2,Some Random Commen with Id 78
79,15,4,24,3,Some Random Commen with Id 79
80,15,4,196,4,Some Random Commen with Id 80
81,15,4,174,9,Some Random Commen with Id 81
82,15,4,148,8,Some Random Commen with Id 82
83,15,4,154,3,Some Random Commen with Id 83
84,16,6,194,7,Some Random Commen with Id 84
85,16,6,165,7,Some Random Commen with Id 85
86,16,6,64,7,Some Random Commen with Id 86
87,16,6,71,0,Some Random Commen with Id 87
88,16,6,195,3,Some Random Commen with Id 88
89,17,3,67,1,Some Random Commen with Id 89
90,17,3,93,8,Some Random Commen with Id 90
91,17,3,121,0,Some Random Commen with Id 91
92,17,3,160,2,Some Random Commen with Id 92
93,17,3,57,4,Some Random Commen with Id 93
94,18,7,93,9,Some Random Commen with Id 94
95,18,7,68,3,Some Random Commen with Id 95
96,18,7,191,8,Some Random Commen with Id 96
97,18,7,103,1,Some Random Commen with Id 97
98,19,2,17,2,Some Random Commen with Id 98
99,19,2,62,5,Some Random Commen with Id 99
100,19,2,68,8,Some Random Commen with Id 100
101,19,2,182,5,Some Random Commen with Id 101
102,19,2,29,3,Some Random Commen with Id 102
103,19,2,199,7,Some Random Commen with Id 103
104,21,0,63,0,Some Random Commen with Id 104
105,21,0,153,8,Some Random Commen with Id 105
106,21,0,25,1,Some Random Commen with Id 106
107,21,0,97,8,Some Random Commen with Id 107
108,22,1,24,8,Some Random Commen with Id 108
109,22,1,61,4,Some Random Commen with Id 109
110,22,1,29,6,Some Random Commen with Id 110
111,22,1,47,8,Some Random Commen with Id 111
112,23,9,51,8,Some Random Commen with Id 112
113,23,9,121,9,Some Random Commen with Id 113
114,23,9,191,7,Some Random Commen with Id 114
115,24,4,158,9,Some Random Commen with Id 115
116,24,4,68,1,Some Random Commen with Id 116
117,24,4,96,2,Some Random Commen with Id 117
118,25,4,162,4,Some Random Commen with Id 118
