Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,98,2,Some Random Commen with Id 0
1,1,9,109,4,Some Random Commen with Id 1
2,1,9,4,1,Some Random Commen with Id 2
3,1,9,108,0,Some Random Commen with Id 3
4,1,9,19,5,Some Random Commen with Id 4
5,1,9,41,1,Some Random Commen with Id 5
6,1,9,147,4,Some Random Commen with Id 6
7,1,9,75,7,Some Random Commen with Id 7
8,1,9,101,9,Some Random Commen with Id 8
9,2,0,73,5,Some Random Commen with Id 9
10,4,7,104,2,Some Random Commen with Id 10
11,4,7,69,6,Some Random Commen with Id 11
12,5,0,57,5,Some Random Commen with Id 12
13,5,0,163,5,Some Random Commen with Id 13
14,5,0,73,5,Some Random Commen with Id 14
15,5,0,195,1,Some Random Commen with Id 15
16,5,0,29,4,Some Random Commen with Id 16
17,5,0,187,9,Some Random Commen with Id 17
18,6,8,45,1,Some Random Commen with Id 18
19,7,8,81,8,Some Random Commen with Id 19
20,7,8,152,2,Some Random Commen with Id 20
21,7,8,46,4,Some Random Commen with Id 21
22,7,8,43,5,Some Random Commen with Id 22
23,7,8,9,0,Some Random Commen with Id 23
24,8,3,172,8,Some Random Commen with Id 24
25,9,2,150,1,Some Random Commen with Id 25
26,10,2,35,4,Some Random Commen with Id 26
27,10,2,8,7,Some Random Commen with Id 27
28,10,2,16,4,Some Random Commen with Id 28
29,11,9,133,4,Some Random Commen with Id 29
30,11,9,8,0,Some Random Commen with Id 30
31,11,9,175,9,Some Random Commen with Id 31
32,11,9,27,5,Some Random Commen with Id 32
33,11,9,121,4,Some Random Commen with Id 33
34,11,9,158,2,Some Random Commen with Id 34
35,12,6,115,1,Some Random Commen with Id 35
36,12,6,46,2,Some Random Commen with Id 36
37,12,6,7,4,Some Random Commen with Id 37
38,12,6,59,3,Some Random Commen with Id 38
39,13,5,94,9,Some Random Commen with Id 39
40,13,5,120,1,Some Random Commen with Id 40
41,13,5,123,2,Some Random Commen with Id 41
42,13,5,100,4,Some Random Commen with Id 42
43,13,5,190,7,Some Random Commen with Id 43
44,13,5,2,2,Some Random Commen with Id 44
45,14,0,46,5,Some Random Commen with Id 45
46,14,0,154,6,Some Random Commen with Id 46
47,15,9,164,4,Some Random Commen with Id 47
48,15,9,43,0,Some Random Commen with Id 48
49,15,9,187,4,Some Random Commen with Id 49
50,15,9,12,8,Some Random Commen with Id 50
51,15,9,5,0,Some Random Commen with Id 51
52,16,9,42,0,Some Random Commen with Id 52
